city,region,variant,date,household_type,adult_equivalents,g1_food,g2_housing,g3_household_articles,g4_clothing,g5_transport,g6_health_personal,g7_personal_expenses,g8_education,g9_communication,omal_total,sample_n,effective_n,shrinkage_city_weight
Rio Branco,North,core,2020-01-01,2 adults + 2 children,2.1,1044.0722243031544,1855.1886438772506,0.0,226.07490073031767,422.82955690985904,567.0791917900053,0.0,102.5146088481674,153.59569447846113,4371.354820937216,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2020-02-01,2 adults + 2 children,2.1,1050.232250426543,1837.7498706248045,0.0,224.3793389748403,423.33695237815095,577.8536964340153,0.0,105.69256172246058,154.30223467306203,4373.546905233877,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2020-03-01,2 adults + 2 children,2.1,1053.27792395278,1830.9501961034928,0.0,224.33446310704534,420.7122632734065,582.8810235929911,0.0,105.61857692925486,154.81143204748312,4372.585879006454,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2020-04-01,2 adults + 2 children,2.1,1057.4910356485912,1845.7808926919313,0.0,224.60366446277382,412.634587818557,577.2270776641392,0.0,105.56576764079023,153.85160116878873,4377.154627095571,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2020-05-01,2 adults + 2 children,2.1,1063.9417309660475,1851.3182353700065,0.0,224.19937786674083,402.6900942521298,579.5937086825621,0.0,105.41797556609315,153.62082376703557,4380.781946470615,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2020-06-01,2 adults + 2 children,2.1,1065.5376435624967,1855.3911354878205,0.0,222.78692178618036,406.23376708154854,576.8116588808857,0.0,105.60772792211212,154.83442827479513,4387.203282995839,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2020-07-01,2 adults + 2 children,2.1,1077.258557641684,1855.947752828467,0.0,221.29424941021293,415.6177671011323,576.6386153832215,0.0,105.53380251256664,155.67053418747903,4407.961279064763,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2020-08-01,2 adults + 2 children,2.1,1092.1247257371392,1865.598681143175,0.0,218.61658899234936,417.86210304347844,583.2122955985902,0.0,104.04577589713945,156.85363024730387,4438.313800659175,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2020-09-01,2 adults + 2 children,2.1,1129.8030287750705,1877.3519528343772,0.0,220.67158492887745,423.0853793315219,582.8623682212311,0.0,104.25386744893372,156.7124619800813,4494.740643520093,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2020-10-01,2 adults + 2 children,2.1,1177.367736286501,1886.5509774032655,0.0,223.51824837445997,426.25851967650834,586.8258323251353,0.0,104.36854670312755,156.63410574909125,4561.523966518089,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2020-11-01,2 adults + 2 children,2.1,1217.751449641128,1903.9072463953758,0.0,223.36178560059784,430.0522205016292,587.706071073623,0.0,104.63990492455568,156.7437496231156,4624.162427760025,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2020-12-01,2 adults + 2 children,2.1,1235.8959462407806,2008.8125356717608,0.0,225.17101606396267,433.96569570819406,588.5876301802335,0.0,105.12124848720862,156.79077274800255,4754.344845100143,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2021-01-01,2 adults + 2 children,2.1,1260.6138651655963,1965.823947408385,0.0,224.09019518685565,437.9581801087095,587.0573023417649,0.0,105.44712435751899,156.68101920707892,4737.671633775909,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2021-02-01,2 adults + 2 children,2.1,1270.446653313888,1972.5077488295738,0.0,226.39832419728026,446.84873116491633,598.0352738955557,0.0,106.80739226173098,156.6496830032375,4777.693806666182,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2021-03-01,2 adults + 2 children,2.1,1272.9875466205158,1991.6410739932207,0.0,227.48503615342716,463.2480795986687,595.2843116356363,0.0,106.88215743631419,156.85332759114172,4814.381533028924,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2021-04-01,2 adults + 2 children,2.1,1288.899890953272,2004.5867409741766,0.0,230.69257516319053,466.67611538769887,605.4636733646055,0.0,107.22418034011041,156.72784492906882,4860.271021112123,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2021-05-01,2 adults + 2 children,2.1,1297.7933002008497,2049.088566623803,0.0,232.09979987168597,471.20287370695956,609.7624654454943,0.0,107.30995968438248,157.02562783443406,4924.2825933676095,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2021-06-01,2 adults + 2 children,2.1,1301.686680101452,2079.6199862664976,0.0,231.54276035199393,478.4122776746761,614.8234939086918,0.0,107.39580765212996,157.02562783443406,4970.506633789875,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2021-07-01,2 adults + 2 children,2.1,1305.8520774777767,2144.504129838012,0.0,233.07094257031713,479.8475145077001,614.0857057160015,0.0,107.63207842896465,157.00992527165062,5042.002373810423,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2021-08-01,2 adults + 2 children,2.1,1315.64596805886,2158.8723075079265,0.0,237.70905432746645,483.5423403694094,607.6378058059835,0.0,108.15947561326658,156.6959054211073,5068.2628571040195,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2021-09-01,2 adults + 2 children,2.1,1331.0390258851487,2234.216951039953,0.0,243.05750804983447,493.5516668150561,612.1950893495284,0.0,107.79173339618146,157.00929723194952,5178.8612717676515,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2021-10-01,2 adults + 2 children,2.1,1349.8066761501293,2254.548325294417,0.0,245.34224862550292,500.16525915037795,616.3580159571052,0.0,108.21212115642658,157.4175214047526,5231.850167738711,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2021-11-01,2 adults + 2 children,2.1,1364.2496075849358,2266.7228862510065,0.0,245.51398819954073,514.6200351398238,602.6132322012617,0.0,108.42854539873943,158.06293324251206,5260.21122801782,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2021-12-01,2 adults + 2 children,2.1,1372.8443801127207,2285.08334162964,0.0,251.75004349980912,522.6481076880051,613.8218383202052,0.0,108.69961676223627,159.72259404155847,5314.569922054175,44.0,40.35309215650423,0.3352892014110452
Rio Branco,North,core,2022-01-01,2 adults + 2 children,2.1,1377.2374821290814,2325.300808442322,0.0,256.3570692958556,526.6724981172027,617.2592406147985,0.0,108.47134756703558,161.08023609091168,5372.378682257207,44.0,40.35309215650423,0.3352892014110452
