city,region,variant,date,household_type,adult_equivalents,g1_food,g2_housing,g3_household_articles,g4_clothing,g5_transport,g6_health_personal,g7_personal_expenses,g8_education,g9_communication,omal_total,one_worker_required_income,two_worker_required_income_each,sample_n,effective_n,shrinkage_city_weight,statutory_minimum,multiple_of_minimum_one_worker,multiple_of_minimum_two_workers_each,dieese_family_benchmark,ratio_to_dieese_family,pnad_quarter,labour_income_real
Rio Branco,North,core,2026-06-01,1 adult,1.0,812.8684508732491,1252.9020735980591,0.0,149.2374002607906,303.03296749956536,394.33180320669067,0.0,68.18297835052022,80.16754573781384,3060.7232195266893,3060.7232195266893,1530.3616097633446,44.0,40.35309215650423,0.3352892014110452,1621.0,1.888169783791912,0.944084891895956,8110.92,0.37735832920638956,2026Q1,3336.0
Rio Branco,North,core,2026-06-01,1 adult + 1 child,1.3,1056.728986135224,1628.772695677477,0.0,194.0086203390278,393.94285774943495,512.6313441686979,0.0,88.63787185567628,104.21780945915799,3978.940185384696,3978.940185384696,1989.470092692348,44.0,40.35309215650423,0.3352892014110452,1621.0,2.4546207189294855,1.2273103594647428,8110.92,0.49056582796830644,2026Q1,3336.0
Rio Branco,North,core,2026-06-01,1 adult + 2 children,1.6,1300.5895213971985,2004.6433177568947,0.0,238.77984041726495,484.85274799930454,630.9308851307051,0.0,109.09276536083235,128.26807318050214,4897.157151242703,4897.157151242703,2448.5785756213513,44.0,40.35309215650423,0.3352892014110452,1621.0,3.021071654067059,1.5105358270335294,8110.92,0.6037733267302233,2026Q1,3336.0
Rio Branco,North,core,2026-06-01,2 adults,1.5,1219.3026763098737,1879.3531103970888,0.0,223.85610039118592,454.54945124934807,591.497704810036,0.0,102.27446752578032,120.25131860672076,4591.084829290034,4591.084829290034,2295.542414645017,44.0,40.35309215650423,0.3352892014110452,1621.0,2.8322546756878677,1.4161273378439339,8110.92,0.5660374938095843,2026Q1,3336.0
Rio Branco,North,core,2026-06-01,2 adults + 1 child,1.8,1463.1632115718485,2255.2237324765065,0.0,268.62732046942307,545.4593414992177,709.7972457720432,0.0,122.72936103093639,144.3015823280649,5509.301795148041,5509.301795148041,2754.6508975740203,44.0,40.35309215650423,0.3352892014110452,1621.0,3.3987056108254414,1.6993528054127207,8110.92,0.6792449925715012,2026Q1,3336.0
Rio Branco,North,core,2026-06-01,2 adults + 2 children,2.1,1707.0237468338232,2631.0943545559244,0.0,313.3985405476603,636.3692317490872,828.0967867340504,0.0,143.18425453609245,168.35184604940906,6427.5187610060475,6427.5187610060475,3213.7593805030237,44.0,40.35309215650423,0.3352892014110452,1621.0,3.965156545963015,1.9825782729815076,8110.92,0.7924524913334181,2026Q1,3336.0
Rio Branco,North,expanded,2026-06-01,1 adult,1.0,775.3013162328047,1195.4061722858912,92.39884439194626,142.54899915278716,457.21840942411563,377.4356444931945,0.11048808302089476,65.10767425287243,77.03423068842838,3182.561779005061,3182.561779005061,1591.2808895025305,44.0,40.27383344471661,0.3348511666357447,1621.0,1.963332374463332,0.981666187231666,8110.92,0.3923798754031677,2026Q1,3336.0
Rio Branco,North,expanded,2026-06-01,1 adult + 1 child,1.3,1007.8917111026461,1554.0280239716587,120.11849770953015,185.3136988986233,594.3839322513504,490.6663378411529,0.1436345079271632,84.63997652873415,100.14449989495691,4137.330312706579,4137.330312706579,2068.6651563532896,44.0,40.27383344471661,0.3348511666357447,1621.0,2.5523320868023314,1.2761660434011657,8110.92,0.510093838024118,2026Q1,3336.0
Rio Branco,North,expanded,2026-06-01,1 adult + 2 children,1.6,1240.4821059724875,1912.649875657426,147.838151027114,228.07839864445944,731.549455078585,603.8970311891112,0.1767809328334316,104.17227880459588,123.25476910148541,5092.098846408097,5092.098846408097,2546.0494232040487,44.0,40.27383344471661,0.3348511666357447,1621.0,3.141331799141331,1.5706658995706655,8110.92,0.6278078006450682,2026Q1,3336.0
Rio Branco,North,expanded,2026-06-01,2 adults,1.5,1162.9519743492071,1793.109258428837,138.5982665879194,213.82349872918076,685.8276141361736,566.1534667397918,0.16573212453134215,97.66151137930865,115.55134603264258,4773.842668507592,4773.842668507592,2386.921334253796,44.0,40.27383344471661,0.3348511666357447,1621.0,2.944998561694998,1.472499280847499,8110.92,0.5885698131047516,2026Q1,3336.0
Rio Branco,North,expanded,2026-06-01,2 adults + 1 child,1.8,1395.5423692190484,2151.7311101146042,166.31791990550326,256.5881984750169,822.9931369634081,679.38416008775,0.19887854943761057,117.19381365517036,138.66161523917108,5728.61120220911,5728.61120220911,2864.305601104555,44.0,40.27383344471661,0.3348511666357447,1621.0,3.5339982740339977,1.7669991370169988,8110.92,0.7062837757257019,2026Q1,3336.0
