city,region,variant,sample_n,effective_n,shrinkage_city_weight,income_band_low,income_band_high,base_total_per_ae_2018,share_g1_food,share_g2_housing,share_g3_household_articles,share_g4_clothing,share_g5_transport,share_g6_health_personal,share_g7_personal_expenses,share_g8_education,share_g9_communication
Rio Branco,North,core,44,40.35309215650423,0.3352892014110452,2308.63766666672,4543.71311111104,1938.9373249432592,0.23396592758917523,0.4298637876077714,0.0,0.05172343297483759,0.09546824710484605,0.13079635298377082,0.0,0.02327353725249833,0.03490871448710054
Rio Branco,North,expanded,44,40.27383344471661,0.3348511666357447,2308.63766666672,4543.71311111104,2015.3101019353019,0.2146963979747618,0.3945945803678405,0.030451026945530174,0.04753305510037636,0.13858450260250765,0.12044773317759627,3.7972599462179354e-05,0.021381614641878134,0.03227311659004685
São Luís,Northeast,core,26,23.578495699591105,0.22763890844655496,2308.63766666672,4543.71311111104,1903.005335806623,0.22671222446231706,0.3330741122690245,0.0,0.05791136839248119,0.13139719828532304,0.14474931216588224,0.0,0.06586381317921557,0.04029197124575634
São Luís,Northeast,expanded,26,23.578495699591105,0.22763890844655496,2308.63766666672,4543.71311111104,2029.4798953758116,0.2110969098663313,0.3103699585202982,0.05387701946594579,0.05394413310755787,0.13469982196681898,0.13518320716827886,0.0017067411972905098,0.06150362841270884,0.03761858029476969
Aracaju,Northeast,core,60,49.98700892776219,0.3845538822694314,2308.63766666672,4543.71311111104,1982.9590391866886,0.23606205696794666,0.31433216726809765,0.0,0.05016188452821178,0.12228164813822735,0.16625136815336944,0.0,0.07314770302474144,0.0377631719194058
Aracaju,Northeast,expanded,60,49.98700892776219,0.3845538822694314,2308.63766666672,4543.71311111104,2099.253015605717,0.22169916316049923,0.2954639936470984,0.04519205669244519,0.047148859601328794,0.1282363464703695,0.15641930322681102,0.0014600213170598536,0.06882564952266926,0.03555460636171884
Campo Grande,Center-West,core,87,81.39027877328691,0.5043071949062059,2308.63766666672,4543.71311111104,1907.3754775532452,0.2492540073001579,0.346243634200389,0.0,0.05410099064089142,0.13327184920256213,0.12965452426123014,0.0,0.05034238891123512,0.03713260548353425
Campo Grande,Center-West,expanded,87,81.39027877328691,0.5043071949062059,2308.63766666672,4543.71311111104,2090.069839892427,0.232460560444566,0.32291552753115854,0.04419278971995488,0.050455945487941904,0.14472589974211536,0.12091907247711499,0.002748823249862412,0.04695057891820144,0.03463080242908444
Goiânia,Center-West,core,41,30.813043401479096,0.27806332590146887,2308.63766666672,4543.71311111104,1927.2453976648774,0.22234209969971175,0.35890561780541785,0.0,0.05041685108807706,0.1452169827187609,0.1382543993416662,0.0,0.047140953918974014,0.037723095427392224
Goiânia,Center-West,expanded,41,30.813043401479096,0.27806332590146887,2308.63766666672,4543.71311111104,2092.537111410798,0.20763387976179024,0.33516354299921985,0.04182923281147393,0.04708171062038165,0.1578616968437256,0.12910869047389528,0.002071064711613824,0.044022518322386045,0.03522766345551359
