city,territory,category,group_key,date,monthly_change_pct
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2020-01-01,-2.06
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2020-02-01,-0.94
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2020-03-01,-0.37
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2020-04-01,0.81
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2020-05-01,0.3
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2020-06-01,0.22
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2020-07-01,0.03
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2020-08-01,0.52
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2020-09-01,0.63
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2020-10-01,0.49
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2020-11-01,0.92
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2020-12-01,5.51
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2021-01-01,-2.14
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2021-02-01,0.34
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2021-03-01,0.97
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2021-04-01,0.65
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2021-05-01,2.22
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2021-06-01,1.49
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2021-07-01,3.12
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2021-08-01,0.67
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2021-09-01,3.49
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2021-10-01,0.91
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2021-11-01,0.54
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2021-12-01,0.81
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2022-01-01,1.76
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2022-02-01,1.63
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2022-03-01,1.33
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2022-04-01,-3.25
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2022-05-01,-4.52
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2022-06-01,0.06
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2022-07-01,-3.09
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2022-08-01,-1.21
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2022-09-01,0.35
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2022-10-01,0.01
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2022-11-01,-0.32
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2022-12-01,3.7
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2023-01-01,1.85
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2023-02-01,-1.06
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2023-03-01,1.3
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2023-04-01,1.15
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2023-05-01,-0.28
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2023-06-01,-0.34
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2023-07-01,-2.23
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2023-08-01,1.96
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2023-09-01,0.51
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2023-10-01,0.35
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2023-11-01,-0.41
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2023-12-01,3.57
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2024-01-01,2.3
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2024-02-01,-1.18
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2024-03-01,1.12
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2024-04-01,0.18
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2024-05-01,-0.59
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2024-06-01,1.03
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2024-07-01,0.71
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2024-08-01,-1.17
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2024-09-01,3.5
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2024-10-01,1.1
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2024-11-01,-0.61
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2024-12-01,-1.79
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2025-01-01,-8.03
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2025-02-01,7.5
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2025-03-01,0.25
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2025-04-01,0.21
Rio Branco,Rio Branco (AC),2.Habitação,g2_housing,2025-05-01,0.88
