city,region,variant,date,household_type,adult_equivalents,food,housing,other,omal_total,sample_n,effective_n,shrinkage_city_weight
Rio Branco,North,core,2020-01-01,2 adults + 2 children,2.1,1044.0722243031541,2005.8462534638356,1324.7315346882112,4374.650012455201,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2020-02-01,2 adults + 2 children,2.1,1050.2322504265428,1986.9912986812756,1331.2227192081834,4368.446268316002,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2020-03-01,2 adults + 2 children,2.1,1053.27792395278,1979.639430876155,1331.3558414801043,4364.273196309039,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2020-04-01,2 adults + 2 children,2.1,1057.4910356485912,1995.6745102662517,1324.5659266885557,4377.731472603398,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2020-05-01,2 adults + 2 children,2.1,1063.9417309660475,2001.6615337970502,1320.1948591304836,4385.798123893581,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2020-06-01,2 adults + 2 children,2.1,1065.5376435624967,2006.065189171404,1322.9672683346573,4394.570101068558,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2020-07-01,2 adults + 2 children,2.1,1077.258557641684,2006.667008728155,1332.8895228471674,4416.815089217007,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2020-08-01,2 adults + 2 children,2.1,1092.1247257371392,2017.1016771735417,1340.087126270542,4449.313529181223,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2020-09-01,2 adults + 2 children,2.1,1129.8030287750705,2029.809417739735,1356.0341630731618,4515.646609587968,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2020-10-01,2 adults + 2 children,2.1,1177.3677362865008,2039.7554838866597,1374.611831107264,4591.735051280424,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2020-11-01,2 adults + 2 children,2.1,1217.751449641128,2058.521234338417,1389.7325612494437,4666.005245228989,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2020-12-01,2 adults + 2 children,2.1,1235.8959462407806,2171.945754350464,1408.771897338561,4816.613597929806,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2021-01-01,2 adults + 2 children,2.1,1260.6138651655963,2125.4661152073636,1414.970493686851,4801.050474059811,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2021-02-01,2 adults + 2 children,2.1,1270.4466533138877,2132.6926999990687,1429.8276838705626,4832.967037183519,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2021-03-01,2 adults + 2 children,2.1,1272.9875466205156,2153.3798191890605,1443.5540296357203,4869.921395445296,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2021-04-01,2 adults + 2 children,2.1,1288.899890953272,2167.376788013789,1457.4121483202234,4913.688827287284,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2021-05-01,2 adults + 2 children,2.1,1297.7933002008494,2215.492552707695,1470.9660812996017,4984.251934208146,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2021-06-01,2 adults + 2 children,2.1,1301.6866801014519,2248.503391743039,1482.4396167337386,5032.62968857823,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2021-07-01,2 adults + 2 children,2.1,1305.8520774777764,2318.6566975654223,1492.2237182041813,5116.73249324738,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2021-08-01,2 adults + 2 children,2.1,1315.64596805886,2334.19169743911,1500.2817262824842,5150.119391780454,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2021-09-01,2 adults + 2 children,2.1,1331.0390258851487,2415.6549876797344,1523.686121212491,5270.380134777373,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2021-10-01,2 adults + 2 children,2.1,1349.8066761501293,2437.6374480676204,1538.7706138124945,5326.214738030245,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2021-11-01,2 adults + 2 children,2.1,1364.2496075849353,2450.8006902871857,1551.388532845757,5366.438830717878,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2021-12-01,2 adults + 2 children,2.1,1372.8443801127205,2470.652175878512,1569.694917533337,5413.19147352457,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2022-01-01,2 adults + 2 children,2.1,1377.2374821290814,2514.1356541739738,1583.3512633158768,5474.724399618932,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2022-02-01,2 adults + 2 children,2.1,1384.812288280791,2555.11606533701,1598.076430064715,5538.004783682516,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2022-03-01,2 adults + 2 children,2.1,1401.4300357401607,2589.099109005993,1619.6504618705885,5610.179606616743,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2022-04-01,2 adults + 2 children,2.1,1434.0833555729066,2504.953387963298,1634.2273160274235,5573.2640595636285,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2022-05-01,2 adults + 2 children,2.1,1444.4087557330317,2391.7294948273566,1637.659193391081,5473.797443951469,44,40.35309215650423,0.3352892014110451
Rio Branco,North,core,2022-06-01,2 adults + 2 children,2.1,1458.7084024147885,2393.164532524253,1650.924232857549,5502.797167796591,44,40.35309215650423,0.3352892014110451
